F1: 0.07692,Precision: 0.07692,Recall: 0.07692,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,T. Griffiths,http://dbpedia.org/resource/Andy_Griffith,http://dbpedia.org/resource/Terry_Griffiths
0,2,S. Bingham,"http://dbpedia.org/resource/Richard_Bingham,_2nd_Earl_of_Lucan",http://dbpedia.org/resource/Stewart_Bingham http://dbpedia.org/resource/Stuart_Bingham http://dbpedia.org/resource/Ball-Run
0,3,S. Davis,http://dbpedia.org/resource/Jefferson_Davis,"http://dbpedia.org/resource/Davis,_Steve http://dbpedia.org/resource/Steve_Davis http://dbpedia.org/resource/Steve_Interesting_Davis http://dbpedia.org/resource/Master_Cueman http://dbpedia.org/resource/Ginger_Mushroom http://dbpedia.org/resource/Steve_Davis_(snooker_player) http://dbpedia.org/resource/Romford_Slim http://dbpedia.org/resource/The_Ginger_Magician"
0,4,S. Hendry,"http://dbpedia.org/resource/Hendry_County,_Florida","http://dbpedia.org/resource/Steven_Hendry http://dbpedia.org/resource/Stephen_Gordon_Hendry http://dbpedia.org/resource/The_Wonder_Bairn http://dbpedia.org/resource/Stephen_Gordon_Hendry,_MBE http://dbpedia.org/resource/The_Golden_Bairn http://dbpedia.org/resource/Stephen_Gordon_Hendry_MBE http://dbpedia.org/resource/Stephen_Hendry"
0,5,S. Murphy,http://dbpedia.org/resource/Audie_Murphy,http://dbpedia.org/resource/Shaun_Murphy_(snooker_player) http://dbpedia.org/resource/Shaun_Murphy_(cue_sports) http://dbpedia.org/resource/The_Whiston_Warrior http://dbpedia.org/resource/Shaun_Murphy_(snooker)
0,7,R. Reardon,http://dbpedia.org/resource/Rose_Red_(miniseries),http://dbpedia.org/resource/Ray_Reardon
0,8,P. Ebdon,http://dbpedia.org/resource/Marcus_Ebdon,http://dbpedia.org/resource/Peter_Ebdon http://dbpedia.org/resource/The_Ebdonator
0,9,P. Advani,http://dbpedia.org/resource/L._K._Advani,"http://dbpedia.org/resource/Pankaj_Arjan_Advani http://dbpedia.org/resource/Advani,_Pankaj http://dbpedia.org/resource/Pankaj_Advani"
0,10,N. Robertson,http://dbpedia.org/resource/Bank_of_America,http://dbpedia.org/resource/The_Melbourne_Machine http://dbpedia.org/resource/Neil_Robertson_(snooker) http://dbpedia.org/resource/Neil_Robertson_(snooker_player) http://dbpedia.org/resource/Aussie_Ace
0,11,M. Williams,http://dbpedia.org/resource/Mason_Williams,http://dbpedia.org/resource/The_Welsh_Wonder http://dbpedia.org/resource/Mark_Williams_(Welsh_snooker_player) http://dbpedia.org/resource/The_Welsh_Potting_Machine http://dbpedia.org/resource/Mark_J._Williams http://dbpedia.org/resource/Mark_Williams_(snooker_player)
0,12,M. Selby,http://dbpedia.org/resource/Selby,http://dbpedia.org/resource/The_Jester_From_Leicester http://dbpedia.org/resource/Mark_the_Shark http://dbpedia.org/resource/Mark_Selby
0,13,K. Doherty,http://dbpedia.org/resource/Barbara_Doherty,http://dbpedia.org/resource/The_Ranelagh_Rascal http://dbpedia.org/resource/Crafty_Ken http://dbpedia.org/resource/Ken_Doherty http://dbpedia.org/resource/Ken-do http://dbpedia.org/resource/1997_World_Snooker_Champion http://dbpedia.org/resource/Darlin'_of_Dublin http://dbpedia.org/resource/Dogger_Doherty
