F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,D. Cockell,http://dbpedia.org/resource/D,http://dbpedia.org/resource/Don_cockiel http://dbpedia.org/resource/Don_Cockell
0,2,D. McCaffrey,http://dbpedia.org/resource/Anne_McCaffrey,http://dbpedia.org/resource/Dominick_McCaffrey
0,3,D. Kid,http://dbpedia.org/resource/Spy_Kids_3-D:_Game_Over,http://dbpedia.org/resource/Aaron_Brown_(boxer) http://dbpedia.org/resource/Aaron_Lister_Brown http://dbpedia.org/resource/Dixie_Kid
0,4,D. Stanley,http://dbpedia.org/resource/Daryl_Stanley,http://dbpedia.org/resource/Digger_Stanley
0,5,D. Turpin,http://dbpedia.org/resource/Tom_Turpin,http://dbpedia.org/resource/Dick_Turpin_(boxer)
0,6,D. Tiger,http://dbpedia.org/resource/Northrop_F-5,http://dbpedia.org/resource/Dick_Ihetu http://dbpedia.org/resource/Richard_Ihetu http://dbpedia.org/resource/Dick_Tiger
0,7,D. Richardson,http://dbpedia.org/resource/T._D._Richardson,http://dbpedia.org/resource/Dick_Richardson_(boxer)
0,8,D. Corbett,http://dbpedia.org/resource/Richard_Corbett,http://dbpedia.org/resource/Dick_Corbett
0,9,D. Moyer,http://dbpedia.org/resource/Donald_R._Moyer,http://dbpedia.org/resource/Denny_Moyer
0,10,D. Powell,http://dbpedia.org/resource/Colin_Powell,http://dbpedia.org/resource/Dennis_Powell_(boxer)
0,11,D. Adams,http://dbpedia.org/resource/Douglas_Adams,http://dbpedia.org/resource/Dennis_Adams_(boxer)
0,12,D. Fontaine,http://dbpedia.org/resource/Jean_de_La_Fontaine,http://dbpedia.org/resource/Del_Fontaine
